day,estado,vitimas,id_ocorrencia,populacao_cidade,id_ocorrencia_7d,user,replies,weekend,intervention,treatment,intervention_treatment
2023-04-02,RJ,0,3,2398296,2.71,FogoCruzadoRJ,17,1,0,1,0
2023-04-03,BA,5,3,978667,2.0,FogoCruzadoBA,4,0,0,0,0
2023-04-03,RJ,3,3,2592949,2.86,FogoCruzadoRJ,27,0,0,1,0
2023-04-04,BA,1,3,1027358,2.29,FogoCruzadoBA,10,0,0,0,0
2023-04-04,RJ,4,5,1654375,2.86,FogoCruzadoRJ,36,0,0,1,0
2023-04-05,BA,7,2,1419552,2.14,FogoCruzadoBA,2,0,0,0,0
2023-04-05,RJ,10,3,2464500,3.0,FogoCruzadoRJ,12,0,0,1,0
2023-04-06,BA,5,2,1356611,2.29,FogoCruzadoBA,16,0,0,0,0
2023-04-06,RJ,11,4,2110270,3.0,FogoCruzadoRJ,11,0,0,1,0
2023-04-07,BA,1,2,1356611,2.14,FogoCruzadoBA,12,0,0,0,0
2023-04-07,RJ,7,4,2066602,3.29,FogoCruzadoRJ,17,0,0,1,0
2023-04-08,BA,1,1,2675656,2.0,FogoCruzadoBA,10,1,0,0,0
2023-04-08,RJ,3,2,3558351,3.43,FogoCruzadoRJ,3,1,0,1,0
2023-04-09,BA,6,3,932999,2.29,FogoCruzadoBA,8,1,0,0,0
2023-04-09,RJ,0,3,2428359,3.43,FogoCruzadoRJ,1,1,0,1,0
2023-04-10,BA,3,2,1396851,2.14,FogoCruzadoBA,20,0,0,0,0
2023-04-10,RJ,9,3,2544722,3.43,FogoCruzadoRJ,17,0,0,1,0
2023-04-11,BA,3,2,1419552,2.0,FogoCruzadoBA,0,0,0,0,0
2023-04-11,RJ,1,3,2434318,3.14,FogoCruzadoRJ,17,0,0,1,0
2023-04-12,BA,9,1,2675656,1.86,FogoCruzadoBA,8,0,0,0,0
2023-04-12,RJ,5,8,1286643,3.86,FogoCruzadoRJ,28,0,0,1,0
2023-04-13,BA,9,3,937026,2.0,FogoCruzadoBA,14,0,0,0,0
2023-04-13,RJ,8,5,1888162,4.0,FogoCruzadoRJ,19,0,0,1,0
2023-04-14,BA,8,3,959762,2.14,FogoCruzadoBA,8,0,0,0,0
2023-04-14,RJ,13,5,1593528,4.14,FogoCruzadoRJ,16,0,0,1,0
2023-04-15,BA,5,2,1459313,2.29,FogoCruzadoBA,8,1,0,0,0
2023-04-15,RJ,4,3,2592949,4.29,FogoCruzadoRJ,18,1,0,1,0
2023-04-16,BA,3,2,1419552,2.14,FogoCruzadoBA,10,1,0,0,0
2023-04-16,RJ,3,4,2071201,4.43,FogoCruzadoRJ,10,1,0,1,0
2023-04-17,BA,5,1,2675656,2.0,FogoCruzadoBA,4,0,0,0,0
2023-04-17,RJ,11,4,2066602,4.57,FogoCruzadoRJ,15,0,0,1,0
2023-04-18,BA,0,1,2675656,1.86,FogoCruzadoBA,4,0,0,0,0
2023-04-18,RJ,9,2,3404004,4.43,FogoCruzadoRJ,9,0,0,1,0
2023-04-19,BA,3,2,1346516,2.0,FogoCruzadoBA,4,0,0,0,0
2023-04-19,RJ,14,4,2033097,3.86,FogoCruzadoRJ,5,0,0,1,0
2023-04-20,BA,7,3,985717,2.0,FogoCruzadoBA,6,0,0,0,0
2023-04-20,RJ,6,2,3394889,3.43,FogoCruzadoRJ,7,0,0,1,0
2023-04-21,BA,2,1,2675656,1.71,FogoCruzadoBA,14,0,0,0,0
2023-04-21,RJ,0,1,6320446,2.86,FogoCruzadoRJ,7,0,0,1,0
2023-04-22,BA,1,1,2675656,1.57,FogoCruzadoBA,2,1,0,0,0
2023-04-22,RJ,6,4,1775819,3.0,FogoCruzadoRJ,23,1,0,1,0
2023-04-23,BA,5,1,2675656,1.43,FogoCruzadoBA,6,1,0,0,0
2023-04-23,RJ,1,4,1955568,3.0,FogoCruzadoRJ,10,1,0,1,0
2023-04-24,BA,11,4,738832,1.86,FogoCruzadoBA,6,0,0,0,0
2023-04-24,RJ,7,3,2725074,2.86,FogoCruzadoRJ,10,0,0,1,0
2023-04-25,BA,3,1,2675656,1.86,FogoCruzadoBA,12,0,0,0,0
2023-04-25,RJ,6,2,3587747,2.86,FogoCruzadoRJ,14,0,0,1,0
2023-04-26,BA,1,1,2675656,1.71,FogoCruzadoBA,6,0,0,0,0
2023-04-26,RJ,6,5,1636534,3.0,FogoCruzadoRJ,9,0,0,1,0
2023-04-27,BA,2,2,1337828,1.57,FogoCruzadoBA,10,0,0,0,0
2023-04-27,RJ,10,6,1458130,3.57,FogoCruzadoRJ,11,0,0,1,0
2023-04-28,BA,3,2,1459313,1.71,FogoCruzadoBA,6,0,0,0,0
2023-04-28,RJ,7,3,2342005,3.86,FogoCruzadoRJ,3,0,0,1,0
2023-04-29,BA,3,3,932999,2.0,FogoCruzadoBA,4,1,0,0,0
2023-04-29,RJ,3,3,2725074,3.71,FogoCruzadoRJ,5,1,0,1,0
2023-04-30,BA,2,2,1459313,2.14,FogoCruzadoBA,6,1,0,0,0
2023-04-30,RJ,9,3,2705477,3.57,FogoCruzadoRJ,15,1,0,1,0
2023-05-01,BA,4,2,1379407,1.86,FogoCruzadoBA,8,0,0,0,0
2023-05-01,RJ,6,6,1520074,4.0,FogoCruzadoRJ,14,0,0,1,0
2023-05-02,BA,5,4,768560,2.29,FogoCruzadoBA,4,0,0,0,0
2023-05-02,RJ,9,3,2416150,4.14,FogoCruzadoRJ,8,0,0,1,0
2023-05-03,BA,1,2,1357919,2.43,FogoCruzadoBA,6,0,0,0,0
2023-05-03,RJ,12,1,6320446,3.57,FogoCruzadoRJ,9,0,0,1,0
2023-05-04,BA,2,2,1396851,2.43,FogoCruzadoBA,6,0,0,0,0
2023-05-04,RJ,3,7,1319452,3.71,FogoCruzadoRJ,20,0,0,1,0
2023-05-05,BA,9,4,791308,2.71,FogoCruzadoBA,16,0,0,0,0
2023-05-05,RJ,7,1,6320446,3.43,FogoCruzadoRJ,6,0,0,1,0
2023-05-06,BA,4,2,141576,2.57,FogoCruzadoBA,6,1,0,0,0
2023-05-06,RJ,6,1,6320446,3.14,FogoCruzadoRJ,16,1,0,1,0
2023-05-07,BA,2,1,242970,2.43,FogoCruzadoBA,6,1,0,0,0
2023-05-07,RJ,1,2,3185964,3.0,FogoCruzadoRJ,11,1,0,1,0
2023-05-08,BA,9,2,1459313,2.43,FogoCruzadoBA,8,0,0,0,0
2023-05-08,RJ,13,6,1333171,3.0,FogoCruzadoRJ,8,0,0,1,0
2023-05-09,BA,3,3,1027358,2.29,FogoCruzadoBA,8,0,0,0,0
2023-05-09,RJ,5,3,2301166,3.0,FogoCruzadoRJ,24,0,0,1,0
2023-05-10,BA,8,3,986269,2.43,FogoCruzadoBA,4,0,0,0,0
2023-05-10,RJ,7,6,1652952,3.71,FogoCruzadoRJ,12,0,0,1,0
2023-05-11,BA,1,1,242970,2.29,FogoCruzadoBA,10,0,0,0,0
2023-05-11,RJ,8,4,1934003,3.29,FogoCruzadoRJ,18,0,0,1,0
2023-05-12,BA,2,1,2675656,1.86,FogoCruzadoBA,2,0,0,0,0
2023-05-12,RJ,3,2,3238935,3.43,FogoCruzadoRJ,17,0,0,1,0
2023-05-13,BA,3,2,1346516,1.86,FogoCruzadoBA,1,1,0,0,0
2023-05-13,RJ,1,2,3389559,3.57,FogoCruzadoRJ,17,1,0,1,0
2023-05-14,BA,9,4,780564,2.29,FogoCruzadoBA,4,1,0,0,0
2023-05-14,RJ,5,3,2482545,3.71,FogoCruzadoRJ,21,1,0,1,0
2023-05-15,BA,5,4,760491,2.57,FogoCruzadoBA,4,0,0,0,0
2023-05-15,RJ,7,5,1614936,3.57,FogoCruzadoRJ,6,0,0,1,0
2023-05-16,BA,4,1,2675656,2.29,FogoCruzadoBA,6,0,0,0,0
2023-05-16,RJ,7,4,1835985,3.71,FogoCruzadoRJ,40,0,0,1,0
2023-05-17,BA,1,1,2675656,2.0,FogoCruzadoBA,4,0,0,0,0
2023-05-17,RJ,1,3,2423662,3.29,FogoCruzadoRJ,14,0,0,1,0
2023-05-18,BA,5,2,1459313,2.14,FogoCruzadoBA,4,0,0,0,0
2023-05-18,RJ,4,1,6320446,2.86,FogoCruzadoRJ,4,0,0,1,0
2023-05-19,BA,7,3,946368,2.43,FogoCruzadoBA,2,0,0,0,0
2023-05-19,RJ,7,4,2025874,3.14,FogoCruzadoRJ,13,0,0,1,0
2023-05-20,BA,3,1,2675656,2.29,FogoCruzadoBA,8,1,0,0,0
2023-05-20,RJ,2,1,6320446,3.0,FogoCruzadoRJ,15,1,0,1,0
2023-05-21,BA,7,2,1459313,2.0,FogoCruzadoBA,14,1,0,0,0
2023-05-21,RJ,5,3,2596502,3.0,FogoCruzadoRJ,20,1,0,1,0
2023-05-22,BA,2,2,1459313,1.71,FogoCruzadoBA,4,0,0,0,0
2023-05-22,RJ,4,2,3558351,2.57,FogoCruzadoRJ,10,0,0,1,0
2023-05-23,BA,6,2,1396851,1.86,FogoCruzadoBA,6,0,0,0,0
2023-05-23,RJ,12,5,1654070,2.71,FogoCruzadoRJ,53,0,0,1,0
2023-05-24,BA,3,1,2675656,1.86,FogoCruzadoBA,4,0,0,0,0
2023-05-24,RJ,8,4,2161138,2.86,FogoCruzadoRJ,19,0,0,1,0
2023-05-25,BA,6,1,2675656,1.71,FogoCruzadoBA,1,0,0,0,0
2023-05-25,RJ,16,7,1237507,3.71,FogoCruzadoRJ,24,0,0,1,0
2023-05-26,BA,7,1,2675656,1.43,FogoCruzadoBA,8,0,0,0,0
2023-05-26,RJ,6,4,2107606,3.71,FogoCruzadoRJ,7,0,0,1,0
2023-05-27,BA,2,2,1459313,1.57,FogoCruzadoBA,4,1,0,0,0
2023-05-27,RJ,2,2,3223953,3.86,FogoCruzadoRJ,26,1,0,1,0
2023-05-28,BA,7,3,986269,1.71,FogoCruzadoBA,0,1,0,0,0
2023-05-28,RJ,2,3,2544722,3.86,FogoCruzadoRJ,18,1,0,1,0
