id_ocorrencia;local_ocorrencia;latitude_ocorrencia;longitude_ocorrencia;data_ocorrencia;hora_ocorrencia;presen_agen_segur_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia;qtd_ferido_civil_ocorrencia;qtd_ferido_agen_segur_ocorrencia;estado_id;cidade_id;nome_cidade;cod_ibge_cidade;gentilico_cidade;populacao_cidade;area_cidade;densidade_demo_cidade;nome_estado;uf_estado;cod_ibge_estado;homem_qtd_mortos_oc;homem_qtd_feridos_oc;mulher_qtd_mortos_oc;mulher_qtd_feridos_oc;chacina_oc;chacina_qtd_mortos_oc;chacina_unidades_policiais_oc;ag_seguranca_vitima_oc;ag_seguranca_mortos_status_oc;ag_seguranca_feridos_status_oc;bala_perdida_oc;bala_perdida_qtd_mortos_oc;bala_perdida_qtd_feridos_oc;interior_residencia_oc;interior_residencia_qtd_mortos_oc;interior_residencia_qtd_feridos_oc;imediacao_ensino_oc;imediacao_ensino_qtd_mortos_oc;imediacao_ensino_qtd_feridos_oc;vitima_crianca_oc;vitima_crianca_qtd_mortos_oc;info_adicional_crianca_morta_oc;vitima_crianca_qtd_feridos_oc;info_adicional_crianca_ferida_oc;vitima_adolescente_oc;vitima_adolescente_qtd_mortos_oc;info_adicional_adolescente_morto_oc;vitima_adolescente_qtd_feridos_oc;info_adicional_adolescente_ferido_oc;vitima_idoso_oc;vitima_idoso_qtd_mortos_oc;info_adicional_idoso_morto_oc;vitima_idoso_qtd_feridos_oc;info_adicional_idoso_ferido_oc;informacao_via_oc;descricao_via_interrompida_oc;data_interrupcao_via_oc;data_liberacao_via_oc;outros_recortes;motivo_principal;motivo_complementar
56784;Guaxindiba, São Gonçalo - RJ, Brasil;-22.7765233;-42.966482;29/04/2023;22:10:00;0;0;0;0;0;19;3666;São Gonçalo;3304904;gonçalense;999728;24771;4.04;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56785;Estacão de Madureira - Madureira, Rio de Janeiro - RJ, Brasil;-22.8772946;-43.33654019999999;29/04/2023;16:00:00;0;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;1;Não;0;;Não;;;Sim;0;1;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56786;Praia da Rosa - Tauá, Rio de Janeiro - RJ, Brasil;-22.7908333;-43.18888889999999;30/04/2023;00:33:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56787;Av. Dom Hélder Câmara, 6350 - Pilares, Rio de Janeiro - RJ, 20771-005, Brasil;-22.8831124;-43.2903703;29/04/2023;21:35:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56788;Rua Enéas Martins - Loteamento Vila Nova de Camboata -Guadalupe, Rio de Janeiro - RJ, Brasil;-22.8349154;-43.376885;30/04/2023;00:15:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56789;Parque São Braz, Conjunto XV, Bloco J - Rua Engenheiro Jaime Zaverucha - Federação, Salvador - BA, Brasil;-12.9961915;-38.5046476;30/04/2023;05:00:00;0;0;0;0;0;5;538;Salvador;2927408;soteropolitano;2675656;69282;3.86;Bahia;BA;29;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56791;Bambu - Rio Sena, Salvador - BA, 40715-510, Brasil;-12.881797835583386;-38.4664606972711;29/04/2023;15:00:00;1;1;0;0;0;5;538;Salvador;2927408;soteropolitano;2675656;69282;3.86;Bahia;BA;29;1;0;0;0;Não;0;Nýo identificado;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;Não identificado
56792;Avenida Ernani Cardoso - Campinho, Rio de Janeiro - RJ, Brasil;-22.8824151;-43.3352074;30/04/2023;08:40:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56793;Morro do Campinho, Complexo do Fubá - Cascadura, Rio de Janeiro - RJ, 21310-320, Brasil;-22.8844802;-43.3381704;30/04/2023;14:02:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
56794;Complexo do Chapadão - Costa Barros, Rio de Janeiro - RJ, 21515-162, Brasil;-22.8210142;-43.3749571;30/04/2023;06:00:00;0;2;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;0;1;1;Não;0;;Não;;;Sim;2;1;Não;0;0;Não;0;0;Sim;1;Bala perdida;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Disputa;
56795;Colubandê, São Gonçalo - RJ, 24451-545, Brasil;-22.8377152;-43.0139859;30/04/2023;16:00:00;0;0;0;1;0;19;3666;São Gonçalo;3304904;gonçalense;999728;24771;4.04;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Briga;
